boletin,topic,role,method,confidence,needs_review,reviewer,taxonomy_version
18314-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18315-07,Relaciones exteriores,principal,hibrido_institucional_texto,0.834,0,,institutional-hybrid-v0.3
18315-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.834,0,,institutional-hybrid-v0.3
18342-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18342-02,Gobierno interior y descentralización,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18343-16,Administración parlamentaria,principal,revision_semantica,0.99,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18344-07,Salud,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18344-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18345-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18345-13,Educación,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18346-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18347-29,Deportes,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18323-07,Seguridad,principal,revision_semantica,0.99,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18323-07,Agricultura y mundo rural,secundario,revision_semantica,0.99,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18323-07,Constitución y justicia,secundario,revision_semantica,0.99,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18348-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18349-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18350-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18351-07,Seguridad,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18351-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18353-07,Constitución y justicia,principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18353-07,Salud,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18353-07,Personas mayores y discapacidad,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18355-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18357-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18332-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18333-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.78,0,,institutional-hybrid-v0.3
18333-07,Cultura y comunicaciones,secundario,hibrido_institucional_texto,0.78,0,,institutional-hybrid-v0.3
18333-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.78,0,,institutional-hybrid-v0.3
18334-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18335-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18336-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18337-12,Medio ambiente,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18338-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18340-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18352-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18354-07,Trabajo y seguridad social,principal,hibrido_institucional_texto,0.888,0,,institutional-hybrid-v0.3
18354-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.888,0,,institutional-hybrid-v0.3
18358-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18359-07,Administración parlamentaria,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18359-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18359-07,Gobierno interior y descentralización,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18360-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18360-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18361-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18362-19,Ciencia y tecnología,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18363-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18467-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18341-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18364-07,Trabajo y seguridad social,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18364-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18365-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18366-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18367-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18373-07,Seguridad,principal,revision_semantica,0.92,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18373-07,Constitución y justicia,secundario,revision_semantica,0.92,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18373-07,Economía y hacienda,secundario,revision_semantica,0.92,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18374-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18375-29,Deportes,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18376-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18380-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18381-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18382-29,Deportes,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18339-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18356-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18369-07,Seguridad,principal,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18369-07,Economía y hacienda,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18369-07,Constitución y justicia,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18370-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18371-21,Pesca y acuicultura,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18386-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18386-08,Salud,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18387-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18388-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18390-07,Constitución y justicia,principal,revision_semantica,0.96,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18390-07,Ciencia y tecnología,secundario,revision_semantica,0.96,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18391-09,Infraestructura y obras públicas,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18392-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18393-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18394-16,Administración parlamentaria,principal,revision_semantica,0.99,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18395-07,Constitución y justicia,principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18395-07,Gobierno interior y descentralización,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18395-07,"Economía, comercio y consumidores",secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18396-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18397-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18397-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18398-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18399-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18400-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18368-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18372-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18377-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18379-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18402-33,Agua y recursos hídricos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18403-24,Cultura y comunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18405-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18459-05,Economía y hacienda,principal,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18459-05,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18408-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18408-25,Defensa,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18409-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18378-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18410-07,Constitución y justicia,principal,hibrido_institucional_texto,0.889,0,,institutional-hybrid-v0.3
18411-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18383-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18384-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18412-07,Emergencias y desastres,principal,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18412-07,Constitución y justicia,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18413-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18414-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18414-18,Mujeres y género,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18385-07,Seguridad,principal,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18385-07,Defensa,secundario,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18385-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18389-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18389-04,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18406-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18415-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18415-18,Ciencia y tecnología,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18416-07,"Familia, infancia y adolescencia",principal,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18416-07,Seguridad,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18416-07,Constitución y justicia,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18416-07,Derechos humanos,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18417-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18418-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18401-31,Desarrollo social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18401-31,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18404-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18407-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18420-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18422-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18424-07,Educación,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18424-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18425-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18430-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18443-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18443-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18419-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18432-07,Derechos humanos,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18432-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18433-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18444-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18434-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18434-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18435-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18421-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.807,0,,institutional-hybrid-v0.3
18421-07,Cultura y comunicaciones,secundario,hibrido_institucional_texto,0.807,0,,institutional-hybrid-v0.3
18421-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.807,0,,institutional-hybrid-v0.3
18423-07,Constitución y justicia,principal,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18423-07,Seguridad,secundario,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18426-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18447-07,Trabajo y seguridad social,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18447-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18448-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18448-25,Personas mayores y discapacidad,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18449-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18427-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18450-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18468-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18428-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18429-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18431-31,Desarrollo social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18453-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18454-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18455-07,Seguridad,principal,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18455-07,"Familia, infancia y adolescencia",secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18455-07,Constitución y justicia,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18456-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18457-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18458-07,Constitución y justicia,principal,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18458-07,Relaciones exteriores,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18458-07,Seguridad,secundario,revision_semantica,0.94,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18460-07,Seguridad,principal,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18460-07,Defensa,secundario,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18460-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18437-37,"Cultura, patrimonio y deporte",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18438-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18439-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18440-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18441-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18442-07,"Familia, infancia y adolescencia",principal,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18442-07,Constitución y justicia,secundario,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18461-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18469-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18471-07,Seguridad,principal,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18471-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18473-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18436-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18445-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18451-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18452-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18474-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18475-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18476-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18477-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18479-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18480-07,Constitución y justicia,principal,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18446-07,Constitución y justicia,principal,hibrido_institucional_texto,0.866,0,,institutional-hybrid-v0.3
18446-07,Seguridad,secundario,hibrido_institucional_texto,0.866,0,,institutional-hybrid-v0.3
18465-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18466-37,"Cultura, patrimonio y deporte",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18481-07,Gobierno interior y descentralización,principal,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18481-07,Constitución y justicia,secundario,revision_semantica,0.98,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18482-07,Gobierno interior y descentralización,principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18482-07,Constitución y justicia,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18482-07,Economía y hacienda,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18483-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18484-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18485-07,Constitución y justicia,principal,hibrido_institucional_texto,0.861,0,,institutional-hybrid-v0.3
18485-07,Seguridad,secundario,hibrido_institucional_texto,0.861,0,,institutional-hybrid-v0.3
18486-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18487-12,Medio ambiente,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18462-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18464-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18464-14,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18470-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18490-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18529-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18598-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18492-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18493-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18494-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18495-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18496-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18497-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18498-19,Ciencia y tecnología,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18499-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18500-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18472-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18478-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18488-07,Seguridad,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18488-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18489-07,Seguridad,principal,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18489-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18491-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18506-07,Seguridad,principal,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18506-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.857,0,,institutional-hybrid-v0.3
18507-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18507-04,Ciencia y tecnología,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18508-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18509-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18509-35,Infraestructura y obras públicas,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18509-35,Transportes y telecomunicaciones,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18502-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18503-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18504-09,Infraestructura y obras públicas,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18510-07,Trabajo y seguridad social,principal,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18510-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.848,0,,institutional-hybrid-v0.3
18511-07,Personas mayores y discapacidad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18511-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18512-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18538-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18513-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18514-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18514-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18515-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18516-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18517-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18501-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18518-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18519-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18520-07,Constitución y justicia,principal,hibrido_institucional_texto,0.875,0,,institutional-hybrid-v0.3
18520-07,Trabajo y seguridad social,secundario,hibrido_institucional_texto,0.875,0,,institutional-hybrid-v0.3
18531-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18531-03,Defensa,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18527-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18528-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18530-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18532-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18533-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18533-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18622-24,Cultura y comunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18505-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18526-07,Gobierno interior y descentralización,principal,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18526-07,Constitución y justicia,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
